timestamp,game_round,map,latency,event,killer_id,victim_id,weapon_id,killer_ip,victim_ip,weapon,player_id,score,player_ip,points,log_line,log_score
2024-08-22 03:32:21,16,wrackdm17,150,Kill,1022.0,3.0,22.0,<world>,"8051<UP,POINTOPOINT,RUNNING,MULTICA",MOD_TRIGGER_HURT,3.0,1.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",1.0,"2024-08-22 03:32:21: \x08 \x08Kill: 1022 3 22: <world> killed 8051<UP,POINTOPOINT,RUNNING,MULTICA by MOD_TRIGGER_HURT",7.0
2024-08-22 03:32:50,16,wrackdm17,150,Kill,3.0,1.0,7.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA","Player_flags=8051<UP,POINTOPOINT,RU",MOD_ROCKET_SPLASH,3.0,2.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",2.0,"2024-08-22 03:32:50: \x08 \x08Kill: 3 1 7: 8051<UP,POINTOPOINT,RUNNING,MULTICA killed Player_flags=8051<UP,POINTOPOINT,RU by MOD_ROCKET_SPLASH\x08 \x08PlayerScore: 3 1: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 1 points\x08 \x08Challenge: 3 205 1: Client 3 got award 205\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2",1.0
2024-08-22 03:32:53,16,wrackdm17,150,Kill,1022.0,3.0,22.0,<world>,"8051<UP,POINTOPOINT,RUNNING,MULTICA",MOD_TRIGGER_HURT,3.0,3.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",3.0,"2024-08-22 03:32:53: \x08 \x08Kill: 1022 3 22: <world> killed 8051<UP,POINTOPOINT,RUNNING,MULTICA by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 3 0: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 0 points",0.0
2024-08-22 03:33:09,16,wrackdm17,150,Kill,1022.0,2.0,22.0,<world>,UnnamedPlayer,MOD_TRIGGER_HURT,3.0,4.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",4.0,2024-08-22 03:33:09: \x08 \x08Kill: 1022 2 22: <world> killed UnnamedPlayer by MOD_TRIGGER_HURT,1.0
2024-08-22 03:33:26,16,wrackdm17,150,Kill,3.0,0.0,22.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",Player_138.25.249.94,MOD_TRIGGER_HURT,3.0,5.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",5.0,"2024-08-22 03:33:26: \x08 \x08Kill: 3 0 22: 8051<UP,POINTOPOINT,RUNNING,MULTICA killed Player_138.25.249.94 by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 3 1: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 1 points",1.0
2024-08-22 03:33:39,16,wrackdm17,150,Kill,3.0,2.0,1.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",UnnamedPlayer,MOD_SHOTGUN,3.0,6.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",6.0,"2024-08-22 03:33:39: \x08 \x08Kill: 3 2 1: 8051<UP,POINTOPOINT,RUNNING,MULTICA killed UnnamedPlayer by MOD_SHOTGUN\x08 \x08PlayerScore: 3 2: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 2 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2",2.0
2024-08-22 03:35:08,16,wrackdm17,150,Kill,1022.0,3.0,22.0,<world>,"8051<UP,POINTOPOINT,RUNNING,MULTICA",MOD_TRIGGER_HURT,3.0,7.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",7.0,"2024-08-22 03:35:08: \x08 \x08Kill: 1022 3 22: <world> killed 8051<UP,POINTOPOINT,RUNNING,MULTICA by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 3 1: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 1 points",1.0
2024-08-22 03:35:27,16,wrackdm17,150,Kill,3.0,1.0,1.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA","Player_flags=8051<UP,POINTOPOINT,RU",MOD_SHOTGUN,3.0,8.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",8.0,"2024-08-22 03:35:27: \x08 \x08Kill: 3 1 1: 8051<UP,POINTOPOINT,RUNNING,MULTICA killed Player_flags=8051<UP,POINTOPOINT,RU by MOD_SHOTGUN\x08 \x08PlayerScore: 3 2: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 2 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2",2.0
2024-08-22 03:35:47,16,wrackdm17,150,Kill,3.0,2.0,8.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",UnnamedPlayer,MOD_PLASMA,3.0,9.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",9.0,"2024-08-22 03:35:47: \x08 \x08Kill: 3 2 8: 8051<UP,POINTOPOINT,RUNNING,MULTICA killed UnnamedPlayer by MOD_PLASMA\x08 \x08PlayerScore: 3 3: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 3 points\x08 \x08Challenge: 3 207 1: Client 3 got award 207\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2",3.0
2024-08-22 03:35:49,16,wrackdm17,150,Kill,1022.0,3.0,22.0,<world>,"8051<UP,POINTOPOINT,RUNNING,MULTICA",MOD_TRIGGER_HURT,3.0,10.0,"8051<UP,POINTOPOINT,RUNNING,MULTICA",10.0,"2024-08-22 03:35:49: \x08 \x08Kill: 1022 3 22: <world> killed 8051<UP,POINTOPOINT,RUNNING,MULTICA by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 3 2: 8051<UP,POINTOPOINT,RUNNING,MULTICA now has 2 points",2.0
